id,type,preferred_day,preferred_start,duration
1,HARD,6,0,3
2,HARD,5,2,3
3,HARD,4,1,3
4,HARD,0,7,3
5,HARD,6,5,3
6,HARD,2,8,4
7,HARD,0,6,4
8,HARD,0,3,3
9,SOFT,2,7,3
10,SOFT,2,7,3
11,SOFT,5,8,4
12,SOFT,2,6,3
13,SOFT,5,6,3
14,SOFT,3,1,4
15,SOFT,5,4,4
16,SOFT,0,6,3
17,SOFT,1,7,3
18,SOFT,0,5,3
19,SOFT,5,8,3
20,SOFT,4,5,4
21,TEACHING,0,6,2
22,TEACHING,1,9,2
23,TEACHING,4,0,2
24,TEACHING,2,3,2
25,TEACHING,3,8,2
26,TEACHING,3,9,2
27,TEACHING,4,8,2
28,TEACHING,4,5,2
29,TEACHING,1,5,2
30,TEACHING,3,9,2
31,TEACHING,0,7,2
32,TEACHING,1,5,2
33,TEACHING,0,4,2
34,TEACHING,0,10,2
35,TEACHING,4,10,2
36,TEACHING,0,5,2
37,TEACHING,0,5,2
38,TEACHING,3,4,2
39,TEACHING,2,0,2
40,TEACHING,3,1,2
41,TEACHING,1,5,2
42,TEACHING,2,10,2
43,TEACHING,2,5,2
44,TEACHING,2,6,2
45,TEACHING,4,5,2
46,TEACHING,4,6,2
47,TEACHING,2,10,2
48,TEACHING,2,3,2
49,TEACHING,2,3,2
50,TEACHING,0,8,2
51,TEACHING,1,3,2
52,TEACHING,1,1,2
53,TEACHING,0,2,2
54,TEACHING,1,10,2
55,TEACHING,2,10,2
56,TEACHING,4,5,2
57,TEACHING,1,10,2
58,TEACHING,4,8,2
59,TEACHING,3,9,2
60,TEACHING,4,2,2
61,TEACHING,4,7,2
62,TEACHING,4,1,2
63,TEACHING,4,3,2
64,TEACHING,3,4,2
65,TEACHING,3,0,2
66,TEACHING,4,8,2
67,TEACHING,2,0,2
68,TEACHING,3,4,2
69,TEACHING,0,7,2
70,TEACHING,2,4,2
71,TEACHING,3,9,2
72,TEACHING,4,5,2
73,TEACHING,0,1,2
74,TEACHING,3,0,2
75,TEACHING,2,8,2
76,TEACHING,2,6,2
77,TEACHING,0,5,2
78,TEACHING,4,7,2
79,TEACHING,0,7,2
80,TEACHING,3,9,2
